ID_oscar,year,movie_title,oscar_winner
1,1929,Wings,1
2,1929,Seventh Heaven,0
3,1929,The Racket,0
4,1930,The Broadway Melody,1
5,1930,Alibi,0
6,1930,The Hollywood Revue of 1929,0
7,1930,In Old Arizona,0
8,1930,The Patriot,0
9,1930,All Quiet on the Western Front,1
10,1930,The Big House,0
11,1930,Disraeli,0
12,1930,The Divorcee,0
13,1930,The Love Parade,0
14,1931,Cimarron,1
15,1931,East Lynne,0
16,1931,The Front Page,0
17,1931,Skippy,0
18,1931,Trader Horn,0
19,1932,Grand Hotel,1
20,1932,Arrowsmith,0
21,1932,Bad Girl,0
22,1932,The Champ,0
23,1932,Five Star Final,0
24,1932,One Hour With You,0
25,1932,Shanghai Express,0
26,1932,The Smiling Lieutenant,0
27,1934,Cavalcade,1
28,1934,42nd Street,0
29,1934,A Farewell to Arms,0
30,1934,I Am a Fugitive from a Chain Gang,0
31,1934,Lady for a Day,0
32,1934,Little Women,0
33,1934,The Private Life of Henry VIII,0
34,1934,She Done Him Wrong,0
35,1934,Smilin' Through,0
36,1934,State Fair,0
37,1935,It Happened One Night,1
38,1935,The Barretts of Wimpole Street,0
39,1935,Cleopatra,0
40,1935,Flirtation Walk,0
41,1935,The Gay Divorcee,0
42,1935,Here Comes the Navy,0
43,1935,The House of Rothschild,0
44,1935,Imitation of Life,0
45,1935,One Night of Love,0
46,1935,The Thin Man,0
47,1935,Viva Villa!,0
48,1935,The White Parade,0
49,1936,Mutiny on the Bounty,1
50,1936,Alice Adams,0
51,1936,Broadway Melody of 1936,0
52,1936,Captain Blood,0
53,1936,David Copperfield,0
54,1936,The Informer,0
55,1936,Les Misérables,0
56,1936,The Lives of a Bengal Lancer,0
57,1936,A Midsummer Night's Dream,0
58,1936,Naughty Marietta,0
59,1936,Ruggles of Red Gap,0
60,1936,Top Hat,0
61,1937,The Great Ziegfeld,1
62,1937,Anthony Adverse,0
63,1937,Dodsworth,0
64,1937,Libeled Lady,0
65,1937,Mr. Deeds Goes to Town,0
66,1937,Romeo and Juliet,0
67,1937,San Francisco,0
68,1937,The Story of Louis Pasteur,0
69,1937,A Tale of Two Cities,0
70,1937,Three Smart Girls,0
71,1938,The Life of Emile Zola,1
72,1938,The Awful Truth,0
73,1938,Captains Courageous,0
74,1938,Dead End,0
75,1938,The Good Earth,0
76,1938,In Old Chicago,0
77,1938,Lost Horizon,0
78,1938,One Hundred Men and a Girl,0
79,1938,Stage Door,0
80,1938,A Star Is Born,0
81,1939,You Can't Take It with You,1
82,1939,The Adventures of Robin Hood,0
83,1939,Alexander's Ragtime Band,0
84,1939,Boys Town,0
85,1939,The Citadel,0
86,1939,Four Daughters,0
87,1939,La Grande Illusion,0
88,1939,Jezebel,0
89,1939,Pygmalion,0
90,1939,Test Pilot,0
91,1940,Gone With the Wind,1
92,1940,Dark Victory,0
93,1940,"Adeus, Mr. Chips",0
94,1940,Love Affair,0
95,1940,Mr. Smith Goes to Washington,0
96,1940,Ninotchka,0
97,1940,Of Mice and Men,0
98,1940,Stagecoach,0
99,1940,The Wizard of Oz,0
100,1940,Wuthering Heights,0
101,1941,Rebecca,1
102,1941,"All This, and Heaven Too",0
103,1941,Foreign Correspondent,0
104,1941,The Grapes of Wrath,0
105,1941,The Great Dictator,0
106,1941,Kitty Foyle,0
107,1941,The Letter,0
108,1941,The Long Voyage Home,0
109,1941,Our Town,0
110,1941,The Philadelphia Story,0
111,1942,How Green Was My Valley,1
112,1942,Blossoms in the Dust,0
113,1942,Citizen Kane,0
114,1942,Here Comes Mr. Jordan,0
115,1942,Hold Back the Dawn,0
116,1942,The Little Foxes,0
117,1942,The Maltese Falcon,0
118,1942,One Foot in Heaven,0
119,1942,Sergeant York,0
120,1942,Suspicion,0
121,1943,Mrs. Miniver,1
122,1943,49th Parallel,0
123,1943,Kings Row,0
124,1943,The Magnificent Ambersons,0
125,1943,The Pied Piper,0
126,1943,The Pride of the Yankees,0
127,1943,Random Harvest,0
128,1943,The Talk of the Town,0
129,1943,Wake Island,0
130,1943,Yankee Doodle Dandy,0
131,1944,Casablanca,1
132,1944,For Whom the Bell Tolls,0
133,1944,Heaven Can Wait,0
134,1944,The Human Comedy,0
135,1944,In Which We Serve,0
136,1944,Madame Curie,0
137,1944,The More the Merrier,0
138,1944,The Ox-Bow Incident,0
139,1944,The Song of Bernadette,0
140,1944,Watch on the Rhine,0
141,1945,Going My Way,1
142,1945,Double Indemnity,0
143,1945,Gaslight,0
144,1945,Since You Went Away,0
145,1945,Wilson,0
146,1946,The Lost Weekend,1
147,1946,Anchors Aweigh,0
148,1946,The Bells of St. Mary's,0
149,1946,Mildred Pierce,0
150,1946,Spellbound,0
151,1947,The Best Years of Our Lives,1
152,1947,Henry V,0
153,1947,It's a Wonderful Life,0
154,1947,The Razor's Edge,0
155,1947,The Yearling,0
156,1948,Gentleman's Agreement,1
157,1948,The Bishop's Wife,0
158,1948,Crossfire,0
159,1948,Great Expectations,0
160,1948,Miracle on 34th Street,0
161,1949,Hamlet,1
162,1949,Johnny Belinda,0
163,1949,The Red Shoes,0
164,1949,The Snake Pit,0
165,1949,The Treasure of the Sierra Madre,0
166,1950,All the King's Men,1
167,1950,Battleground,0
168,1950,The Heiress,0
169,1950,A Letter to Three Wives,0
170,1950,Twelve O'Clock High,0
171,1951,All About Eve,1
172,1951,Born Yesterday,0
173,1951,Father of the Bride,0
174,1951,King Solomon's Mines,0
175,1951,Sunset Boulevard,0
176,1952,An American in Paris,1
177,1952,Decision Before Dawn,0
178,1952,A Place in the Sun,0
179,1952,Quo Vadis,0
180,1952,A Streetcar Named Desire,0
181,1953,The Greatest Show on Earth,1
182,1953,High Noon,0
183,1953,Ivanhoe,0
184,1953,Moulin Rouge,0
185,1953,The Quiet Man,0
186,1954,From Here to Eternity,1
187,1954,Julius Caesar,0
188,1954,The Robe,0
189,1954,Roman Holiday,0
190,1954,Shane,0
191,1955,On the Waterfront,1
192,1955,The Caine Mutiny,0
193,1955,The Country Girl,0
194,1955,Seven Brides for Seven Brothers,0
195,1955,Three Coins in the Fountain,0
196,1956,Marty,1
197,1956,Love Is a Many-Splendored Thing,0
198,1956,Mister Roberts,0
199,1956,Picnic,0
200,1956,The Rose Tattoo,0
201,1957,Around the World in 80 Days,1
202,1957,Friendly Persuasion,0
203,1957,Giant,0
204,1957,The King and I,0
205,1957,The Ten Commandments,0
206,1958,The Bridge on the River Kwai,1
207,1958,12 Angry Men,0
208,1958,Peyton Place,0
209,1958,Sayonara,0
210,1958,Witness for the Prosecution,0
211,1959,Gigi,1
212,1959,Auntie Mame,0
213,1959,Cat on a Hot Tin Roof,0
214,1959,The Defiant Ones,0
215,1959,Separate Tables,0
216,1960,Ben-Hur,1
217,1960,Anatomy of a Murder,0
218,1960,The Diary of Anne Frank,0
219,1960,The Nun's Story,0
220,1960,Room at the Top,0
221,1961,The Apartment,1
222,1961,The Alamo,0
223,1961,Elmer Gantry,0
224,1961,Sons and Lovers,0
225,1961,The Sundowners,0
226,1962,West Side Story,1
227,1962,Fanny,0
228,1962,The Guns of Navarone,0
229,1962,The Hustler,0
230,1962,Judgment at Nuremberg,0
231,1963,Lawrence of Arabia,1
232,1963,The Longest Day,0
233,1963,The Music Man,0
234,1963,Mutiny on the Bounty,0
235,1963,To Kill a Mockingbird,0
236,1964,Tom Jones,1
237,1964,"America, America",0
238,1964,Cleopatra,0
239,1964,How the West Was Won,0
240,1964,Lilies of the Field,0
241,1965,My Fair Lady,1
242,1965,Becket,0
243,1965,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0
244,1965,Mary Poppins,0
245,1965,Zorba the Greek,0
246,1966,The Sound of Music,1
247,1966,Darling,0
248,1966,Doctor Zhivago,0
249,1966,Ship of Fools,0
250,1966,A Thousand Clowns,0
251,1967,A Man for All Seasons,1
252,1967,Alfie,0
253,1967,The Russians Are Coming,0
254,1967,The Sand Pebbles,0
255,1967,Who's Afraid of Virginia Woolf?,0
256,1968,In the Heat of the Night,1
257,1968,Bonnie and Clyde,0
258,1968,Doctor Dolittle,0
259,1968,The Graduate,0
260,1968,Guess Who's Coming to Dinner,0
261,1969,Oliver!,1
262,1969,Funny Girl,0
263,1969,The Lion in Winter,0
264,1969,"Rachel, Rachel",0
265,1969,Romeo and Juliet,0
266,1970,Midnight Cowboy,1
267,1970,Anne of the Thousand Days,0
268,1970,Butch Cassidy and the Sundance Kid,0
269,1970,"Hello, Dolly!",0
270,1970,Z,0
271,1971,Patton,1
272,1971,Airport,0
273,1971,Five Easy Pieces,0
274,1971,Love Story,0
275,1971,M*A*S*H,0
276,1972,The French Connection,1
277,1972,A Clockwork Orange,0
278,1972,Fiddler on the Roof,0
279,1972,The Last Picture Show,0
280,1972,Nicholas and Alexandra,0
281,1973,The Godfather,1
282,1973,Cabaret,0
283,1973,Deliverance,0
284,1973,Utvandrarna / The Emigrants,0
285,1973,Sounder,0
286,1974,The Sting,1
287,1974,American Graffiti,0
288,1974,Cries and Whispers,0
289,1974,The Exorcist,0
290,1974,A Touch of Class,0
291,1975,The Godfather: Part II,1
292,1975,Chinatown,0
293,1975,The Conversation,0
294,1975,Lenny,0
295,1975,The Towering Inferno,0
296,1976,One Flew Over the Cuckoo's Nest,1
297,1976,Barry Lyndon,0
298,1976,Dog Day Afternoon,0
299,1976,Jaws,0
300,1976,Nashville,0
301,1977,Rocky,1
302,1977,All the President's Men,0
303,1977,Bound for Glory,0
304,1977,Network,0
305,1977,Taxi Driver,0
306,1978,Annie Hall,1
307,1978,The Goodbye Girl,0
308,1978,Julia,0
309,1978,Star Wars,0
310,1978,The Turning Point,0
311,1979,The Deer Hunter,1
312,1979,Coming Home,0
313,1979,Heaven Can Wait,0
314,1979,Midnight Express,0
315,1979,An Unmarried Woman,0
316,1980,Kramer vs. Kramer,1
317,1980,All That Jazz,0
318,1980,Apocalypse Now,0
319,1980,Breaking Away,0
320,1980,Norma Rae,0
321,1981,Ordinary People,1
322,1981,Coal Miner's Daughter,0
323,1981,The Elephant Man,0
324,1981,Raging Bull,0
325,1981,Tess,0
326,1982,Chariots of Fire,1
327,1982,Atlantic City,0
328,1982,On Golden Pond,0
329,1982,Raiders of the Lost Ark,0
330,1982,Reds,0
331,1983,Gandhi,1
332,1983,E.T. the Extra-Terrestrial,0
333,1983,Missing,0
334,1983,Tootsie,0
335,1983,The Verdict,0
336,1984,Terms of Endearment,1
337,1984,The Big Chill,0
338,1984,The Dresser,0
339,1984,The Right Stuff,0
340,1984,Tender Mercies,0
341,1985,Amadeus,1
342,1985,The Killing Fields,0
343,1985,A Passage to India,0
344,1985,Places in the Heart,0
345,1985,A Soldier's Story,0
346,1986,Out of Africa,1
347,1986,The Color Purple,0
348,1986,Kiss of the Spider Woman,0
349,1986,Prizzi's Honor,0
350,1986,Witness,0
351,1987,Platoon,1
352,1987,Children of a Lesser God,0
353,1987,Hannah and Her Sisters,0
354,1987,The Mission,0
355,1987,A Room with a View,0
356,1988,The Last Emperor,1
357,1988,Broadcast News,0
358,1988,Fatal Attraction,0
359,1988,Hope and Glory,0
360,1988,Moonstruck,0
361,1989,Rain Man,1
362,1989,The Accidental Tourist,0
363,1989,Dangerous Liaisons,0
364,1989,Mississippi Burning,0
365,1989,Working Girl,0
366,1990,Driving Miss Daisy,1
367,1990,Born on the Fourth of July,0
368,1990,Dead Poets Society,0
369,1990,Field of Dreams,0
370,1990,My Left Foot,0
371,1991,Dances with Wolves,1
372,1991,Awakenings,0
373,1991,Ghost,0
374,1991,The Godfather: Part III,0
375,1991,Good Fellas,0
376,1992,The Silence of the Lambs,1
377,1992,Beauty and the Beast,0
378,1992,Bugsy,0
379,1992,JFK,0
380,1992,The Prince of Tides,0
381,1993,Unforgiven,1
382,1993,The Crying Game,0
383,1993,A Few Good Men,0
384,1993,Howards End,0
385,1993,Scent of a Woman,0
386,1994,Schindler's List,1
387,1994,The Fugitive,0
388,1994,In the Name of the Father,0
389,1994,The Piano,0
390,1994,The Remains of the Day,0
391,1995,Forrest Gump,1
392,1995,Four Weddings and a Funeral,0
393,1995,Pulp Fiction,0
394,1995,Quiz Show,0
395,1995,The Shawshank Redemption,0
396,1996,Braveheart,1
397,1996,Apollo 13,0
398,1996,Babe,0
399,1996,Il postino,0
400,1996,Sense and Sensibility,0
401,1997,The English Patient,1
402,1997,Fargo,0
403,1997,Jerry Maguire,0
404,1997,Secrets & Lies,0
405,1997,Shine,0
406,1998,Titanic,1
407,1998,As Good as It Gets,0
408,1998,The Full Monty,0
409,1998,Good Will Hunting,0
410,1998,L.A. Confidential,0
411,1999,Shakespeare in Love,1
412,1999,Elizabeth,0
413,1999,La vita è bella,0
414,1999,Saving Private Ryan,0
415,1999,The Thin Red Line,0
416,2000,American Beauty,1
417,2000,The Cider House Rules,0
418,2000,The Green Mile,0
419,2000,The Insider,0
420,2000,The Sixth Sense,0
421,2001,Gladiator,1
422,2001,Chocolat,0
423,2001,"Wòhu Cánglóng / Crouching Tiger, Hidden Dragon",0
424,2001,Erin Brockovich,0
425,2001,Traffic,0
426,2002,A Beautiful Mind,1
427,2002,Gosford Park,0
428,2002,In the Bedroom,0
429,2002,The Lord of the Rings: The Fellowship of the Ring,0
430,2002,Moulin Rouge!,0
431,2003,Chicago,1
432,2003,Gangs of New York,0
433,2003,The Hours,0
434,2003,The Lord of the Rings: The Two Towers,0
435,2003,The Pianist,0
436,2004,The Lord of the Rings: The Return of the King,1
437,2004,Lost in Translation,0
438,2004,Master and Commander: The Far Side of the World,0
439,2004,Mystic River,0
440,2004,Seabiscuit,0
441,2005,Million Dollar Baby,1
442,2005,The Aviator,0
443,2005,Finding Neverland,0
444,2005,Ray,0
445,2005,Sideways,0
446,2006,Crash,1
447,2006,Brokeback Mountain,0
448,2006,Capote,0
449,2006,"Good Night, and Good Luck.",0
450,2006,Munich,0
451,2007,The Departed,1
452,2007,Babel,0
453,2007,Letters from Iwo Jima,0
454,2007,Little Miss Sunshine,0
455,2007,The Queen,0
456,2008,No Country for Old Men,1
457,2008,Atonement,0
458,2008,Juno,0
459,2008,Michael Clayton,0
460,2008,There Will Be Blood,0
461,2009,Slumdog Millionaire,1
462,2009,The Reader,0
463,2009,Frost/Nixon,0
464,2009,The Curious Case of Benjamin Button,0
465,2009,Milk,0
466,2010,The Hurt Locker,1
467,2010,Avatar,0
468,2010,The Blind Side,0
469,2010,District 9,0
470,2010,An Education,0
471,2010,Inglourious Basterds,0
472,2010,A Serious Man,0
473,2010,Precious,0
474,2010,Up,0
475,2010,Up in the Air,0
476,2011,The King's Speech,1
477,2011,127 Hours,0
478,2011,Black Swan,0
479,2011,Inception,0
480,2011,The Fighter,0
481,2011,The Kids Are All Right,0
482,2011,The Social Network,0
483,2011,Toy Story 3,0
484,2011,True Grit,0
485,2011,Winter's Bone,0
486,2012,The Artist,1
487,2012,War Horse,0
488,2012,Moneyball,0
489,2012,Extremely Loud and Incredibly Close,0
490,2012,The Help,0
491,2012,Hugo,0
492,2012,Midnight in Paris,0
493,2012,The Descendants,0
494,2012,The Tree of Life,0
495,2013,Argo,1
496,2013,Amour,0
497,2013,Beasts of the Southern Wild,0
498,2013,Django Unchained,0
499,2013,Les Misérables,0
500,2013,Life of Pi,0
501,2013,Lincoln,0
502,2013,Silver Linings Playbook,0
503,2013,Zero Dark Thirty,0
504,2014,12 Years a Slave,1
505,2014,American Hustle,0
506,2014,Gravity,0
507,2014,The Wolf of Wall Street,0
508,2014,Dallas Buyers Club,0
509,2014,Her,0
510,2014,Captain Phillips,0
511,2014,Nebraska,0
512,2014,Philomena,0
513,2015,Birdman or (The Unexpected Virtue of Ignorance),1
514,2015,Boyhood,0
515,2015,The Grand Budapest Hotel,0
516,2015,The Imitation Game,0
517,2015,The Theory of Everything,0
518,2015,Selma,0
519,2015,American Sniper,0
520,2015,Whiplash,0
521,2016,Spotlight,1
522,2016,The Big Short,0
523,2016,Bridge of Spies,0
524,2016,Brooklyn,0
525,2016,Mad Max: Fury Road,0
526,2016,The Martian,0
527,2016,The Revenant,0
528,2016,Room,0
529,2017,Moonlight,1
530,2017,Arrival,0
531,2017,Fences,0
532,2017,Hacksaw Ridge,0
533,2017,Hell or High Water,0
534,2017,Hidden Figures,0
535,2017,La La Land,0
536,2017,Lion,0
537,2017,Manchester by the Sea,0
538,2018,The Shape of Water,1
539,2018,Call Me by Your Name,0
540,2018,Darkest Hour,0
541,2018,Dunkirk,0
542,2018,Get Out,0
543,2018,Lady Bird,0
544,2018,Phantom Thread,0
545,2018,The Post,0
546,2018,"Three Billboards Outside Ebbing, Missouri",0
547,2019,Green Book,1
548,2019,Black Panther,0
549,2019,BlacKkKlansman,0
550,2019,Bohemian Rhapsody,0
551,2019,The Favourite,0
552,2019,Roma,0
553,2019,A Star is Born,0
554,2019,Vice,0
